,client_id,variation
841,1787233,Test
842,1255014,Control
843,3314416,Control
844,8121690,Test
845,8219792,Control
846,3252556,Test
847,4577049,Control
848,9795698,Test
849,4202537,Control
850,8792675,Control
851,1113976,Test
852,6605778,Test
853,3030274,Control
854,5166590,Test
855,5395303,Control
856,122493,Control
857,8607353,Test
858,9309880,Test
859,6219485,Test
860,6779709,Test
861,1181698,Control
862,8627900,Test
863,9265934,Control
864,9441056,Control
865,9017041,Control
866,2815061,Control
867,6330488,Test
868,8550901,Control
869,6586655,Control
870,435580,Control
871,6461191,Control
872,5551581,Test
873,9983987,Test
874,8006148,Test
875,6670730,Control
876,6692080,Test
877,3861021,Control
878,4332065,Test
879,5802843,Test
880,4052287,Control
881,8375573,Test
882,8512863,Control
883,9749944,Control
884,9615900,Test
885,7274800,Test
886,5819620,Control
887,1790923,Control
888,6097361,Control
889,8314579,Test
890,9286966,Test
891,8961589,Test
892,7105238,Control
893,3071281,Test
894,981261,Control
895,987879,Test
896,9652308,Test
897,3976933,Control
898,8544465,Test
899,8645809,Test
900,7278903,Test
901,9455359,Test
902,8627399,Control
903,162867,Test
904,1033888,Control
905,7512282,Control
906,3875133,Test
907,5296568,Test
908,5569364,Control
909,483740,Test
910,6958432,Test
911,4533589,Test
912,7977593,Control
913,8470878,Control
914,2460950,Test
915,5028215,Test
916,7030145,Test
917,7303592,Control
918,2465426,Control
919,9007970,Test
920,1333964,Test
921,4129281,Test
922,4635518,Control
923,8605014,Control
924,9382137,Control
925,5328442,Control
926,7932118,Test
927,3028950,Test
928,6148802,Test
929,5955812,Test
930,2923234,Test
931,2528424,Test
932,3722490,Test
933,9296214,Test
934,2529822,Test
935,3337387,Test
936,4870929,Test
937,2619480,Control
938,7421893,Control
939,3725888,Test
940,9406425,Test
941,2529383,Test
942,6724871,Test
943,9322129,Test
944,9202764,Control
945,5209141,Test
946,2113818,Test
947,9764115,Test
948,1296904,Control
949,4719244,Test
950,6372831,Control
951,4313319,Control
952,542563,Control
953,9076766,Control
954,6410961,Control
955,3050600,Control
956,8945602,Control
957,1111442,Test
958,1061161,Control
959,6580601,Control
960,2671815,Control
961,8794099,Control
962,56570,Test
963,1647261,Control
964,3579822,Control
965,9461504,Test
966,4728463,Test
967,7377294,Test
968,7931364,Test
969,8156741,Control
970,5033489,Control
971,2983878,Control
972,3461541,Control
973,6434694,Control
974,6751236,Test
975,7429878,Test
976,5171763,Control
977,8012228,Test
978,7825081,Test
979,6046772,Test
980,8580049,Test
981,2067509,Test
982,3944371,Control
983,8987034,Test
984,5836504,Test
985,9111035,Test
986,2685663,Test
987,2722950,Control
988,7218675,Control
989,3009581,Control
990,8091872,Control
991,1755496,Test
992,9128400,Test
993,3334970,Test
994,559468,Test
995,1925220,Control
996,4979031,Test
997,9910098,Control
998,983122,Control
999,8249646,Control
1000,8950069,Test
1001,9058579,Control
1002,9039182,Test
1003,3010914,Control
1004,7021345,Control
1005,963874,Test
1006,1546314,Control
1007,7767849,Test
1008,7068149,Control
1009,8118036,Test
1010,9726680,Test
1011,4519160,Control
1012,6773284,Test
1013,7429772,Control
1014,2368143,Test
1015,6308576,Test
1016,3956597,Control
1017,3052488,Control
1018,8758402,Control
1019,9664272,Control
1020,6905463,Control
1021,1144410,Control
1022,2548388,Test
1023,9932367,Control
1024,3149254,Test
1025,2493468,Test
1026,7887617,Test
1027,3317334,Control
1028,5512354,Control
1029,7889092,Control
1030,5267696,Test
1031,7060702,Control
1032,8569065,Control
1033,2006775,Test
1034,6030486,Control
1035,6280351,Control
1036,2108691,Control
1037,2599976,Control
1038,2853115,Control
1039,4554752,Control
1040,8968789,Control
1041,1212721,Test
1042,3322967,Test
1043,6486309,Test
1044,5436729,Test
1045,3074366,Test
1046,3291778,Control
1047,7059333,Control
1048,5188022,Control
1049,6884073,Control
1050,5206988,Test
1051,3366060,Test
1052,7342579,Test
1053,1465396,Test
1054,4780398,Control
1055,2152873,Control
1056,9129878,Control
1057,4023943,Control
1058,521003,Control
1059,2021664,Test
1060,2601570,Test
1061,6066143,Test
1062,464620,Control
1063,3700898,Test
1064,1596808,Control
1065,6578023,Control
1066,1455127,Test
1067,9595233,Control
1068,8560542,Test
1069,2616663,Test
1070,6793640,Control
1071,3097635,Test
1072,409450,Control
1073,7505821,Test
1074,2802293,Control
1075,7928244,Test
1076,6094349,Test
1077,6911162,Control
1078,5379396,Test
1079,2035117,Control
1080,2379374,Test
1081,6362594,Control
1082,749827,Test
1083,8462755,Control
1084,766467,Control
1085,7829434,Control
1086,4374006,Test
1087,5586955,Test
1088,5364422,Test
1089,4374056,Test
1090,9817774,Test
1091,4040468,Test
1092,5651761,Test
1093,1003061,Control
1094,4516267,Control
1095,71476,Control
1096,5599391,Control
1097,2615082,Test
1098,8466565,Test
1099,2471812,Test
1100,864721,Control
1101,5766460,Test
1102,6379996,Test
1103,3391330,Test
1104,5449569,Test
1105,3028832,Test
1106,3703213,Test
1107,1555813,Test
1108,2095170,Test
1109,837625,Control
1110,1735341,Control
1111,3216999,Control
1112,5721401,Test
1113,9542949,Control
1114,9894399,Control
1115,5242744,Test
1116,5566976,Test
1117,934442,Control
1118,4363111,Control
1119,9340301,Control
1120,9967085,Control
1121,6251290,Test
1122,9573768,Control
1123,160938,Control
1124,5525291,Test
1125,2674649,Control
1126,3399215,Control
1127,6804613,Control
1128,928670,Test
1129,9960929,Test
1130,7858061,Test
1131,7471769,Control
1132,65845,Control
1133,1732360,Control
1134,6591984,Control
1135,4133463,Test
1136,2541876,Test
1137,1483517,Test
1138,2044842,Control
1139,707815,Test
1140,5457890,Control
1141,6455115,Control
1142,180404,Control
1143,7263999,Test
1144,2622312,Control
1145,8962467,Control
1146,2190311,Test
1147,3806081,Test
1148,6061376,Control
1149,3570669,Control
1150,7477624,Control
1151,6282795,Control
1152,6324067,Control
1153,5432649,Control
1154,331379,Control
1155,2062763,Test
1156,1163409,Test
1157,2553718,Test
1158,2759297,Test
1159,9173795,Test
1160,9077478,Test
1161,287756,Control
1162,9076007,Test
1163,3495059,Control
1164,1949154,Control
1165,4219577,Control
1166,7688646,Control
1167,2741439,Test
1168,1227035,Test
1169,8728382,Control
1170,463029,Test
1171,7463451,Control
1172,7069926,Test
1173,7543252,Control
1174,9382892,Test
1175,6191302,Control
1176,5617039,Test
1177,1565127,Test
1178,3531620,Control
1179,7283635,Control
1180,8911405,Test
1181,9777919,Test
1182,2857152,Test
1183,8608071,Test
1184,9154283,Test
1185,7680107,Control
1186,2133839,Control
1187,1585267,Test
1188,3016724,Control
1189,161491,Control
1190,6106468,Control
1191,8182943,Test
1192,3239523,Control
1193,8538655,Test
1194,5322608,Control
1195,9128593,Control
1196,5823616,Test
1197,4706669,Control
1198,6431498,Control
1199,5841499,Control
1200,3703282,Control
1201,3571495,Control
1202,451443,Control
1203,6637378,Test
1204,8463084,Control
1205,3836344,Control
1206,4258976,Test
1207,3669611,Control
1208,8939444,Control
1209,5644756,Control
1210,3923657,Test
1211,4305565,Control
1212,5089039,Control
1213,8965532,Control
1214,943003,Test
1215,2357486,Test
1216,9398963,Test
1217,1731028,Test
1218,8753196,Control
1219,6407208,Control
1220,2304952,Test
1221,9788829,Test
1222,2567360,Test
1223,4935415,Test
1224,2796936,Control
1225,4087981,Control
1226,1324064,Control
1227,2649386,Test
1228,2854435,Test
1229,637858,Control
1230,6121098,Test
1231,1322426,Test
1232,7336361,Test
1233,4623083,Test
1234,5617888,Test
1235,9638466,Control
1236,1527623,Control
1237,7758621,Test
1238,9603341,Control
1239,3418762,Control
1240,6240775,Test
1241,7564737,Test
1242,9128690,Test
1243,2195243,Test
1244,4147935,Test
1245,3062998,Test
1246,487462,Test
1247,2353193,Control
1248,5588396,Test
1249,4917803,Control
1250,5490654,Test
1251,6742624,Control
1252,1758566,Control
1253,9322805,Test
1254,2159101,Test
1255,9716117,Control
1256,1663358,Test
1257,9416337,Control
1258,8201398,Control
1259,5916407,Test
1260,3678111,Test
1261,3960380,Test
1262,5715241,Control
1263,6388327,Control
1264,5249171,Test
1265,8696157,Control
1266,5871224,Test
1267,4744245,Control
1268,2430937,Test
1269,780112,Test
1270,809082,Test
1271,9612831,Control
1272,1865475,Test
1273,597792,Test
1274,233601,Control
1275,1288151,Test
1276,8482662,Control
1277,174806,Control
1278,8620393,Test
1279,5919352,Control
1280,7397258,Control
1281,1311965,Control
1282,37408,Control
1283,8806276,Test
1284,269636,Control
1285,7379864,Test
1286,5472730,Control
1287,9646248,Test
1288,2825830,Control
1289,6595818,Test
1290,9740561,Control
1291,9778121,Test
1292,8089534,Test
1293,1269483,Test
1294,6828613,Test
1295,6724757,Test
1296,7024149,Control
1297,6183060,Test
1298,6379127,Control
1299,7602354,Control
1300,345640,Test
1301,5180590,Test
1302,866133,Test
1303,1953574,Test
1304,7817761,Test
1305,3133001,Test
1306,2162418,Test
1307,4038383,Test
1308,6019257,Control
1309,3751021,Test
1310,9750016,Control
1311,979164,Test
1312,5810734,Test
1313,1756663,Control
1314,6267076,Control
1315,196053,Control
1316,6741529,Control
1317,9132831,Test
1318,5060221,Control
1319,2968554,Control
1320,3401354,Test
1321,3132213,Control
1322,8891903,Test
1323,8242142,Test
1324,301165,Test
1325,6078664,Test
1326,152356,Control
1327,8097000,Control
1328,242235,Test
1329,2363857,Control
1330,31502,Control
1331,6494639,Control
1332,8136342,Control
1333,3445770,Test
1334,626494,Test
1335,3874722,Control
1336,7723706,Test
1337,2936450,Test
1338,7276456,Control
1339,2563749,Control
1340,8597519,Control
1341,8870501,Test
1342,160741,Test
1343,8891137,Test
1344,8254513,Control
1345,1374352,Test
1346,775176,Control
1347,1842343,Control
1348,329631,Control
1349,4542043,Control
1350,7825280,Test
1351,6745139,Test
1352,6010099,Test
1353,3905636,Test
1354,283734,Test
1355,7957690,Control
1356,8069676,Control
1357,6396836,Test
1358,1423055,Test
1359,3135162,Test
1360,3623291,Test
1361,7344865,Control
1362,825852,Control
1363,2247954,Test
1364,2712519,Control
1365,1064476,Test
1366,5738894,Control
1367,2806504,Control
1368,282077,Control
1369,3770237,Control
1370,499699,Test
1371,6195846,Control
1372,3920526,Test
1373,1900411,Control
1374,648881,Test
1375,7937128,Test
1376,6081769,Test
1377,5662925,Control
1378,4129662,Test
1379,8705202,Control
1380,1485054,Test
1381,9171585,Test
1382,981888,Control
1383,9390879,Test
1384,7563831,Test
1385,103669,Test
1386,8902463,Control
1387,8409638,Test
1388,7583640,Control
1389,8413740,Control
1390,4145746,Test
1391,8171000,Control
1392,8586525,Test
1393,3667191,Test
1394,5112619,Control
1395,930021,Test
1396,3086953,Test
1397,5804913,Test
1398,5057948,Control
1399,6932133,Control
1400,4142763,Test
1401,2558031,Control
1402,6601606,Control
1403,9993047,Control
1404,2077336,Control
1405,7598039,Test
1406,7031386,Control
1407,254491,Control
1408,8003355,Test
1409,7923876,Control
1410,8443142,Test
1411,8253753,Test
1412,1154031,Control
1413,7202634,Test
1414,7882288,Test
1415,9263439,Test
1416,1662843,Control
1417,5790286,Control
1418,823482,Control
1419,7534562,Test
1420,8326453,Test
1421,2929334,Test
1422,9669255,Test
1423,2555657,Test
1424,5703905,Test
1425,4439304,Test
1426,3673713,Control
1427,2775504,Test
1428,770147,Control
1429,3450220,Test
1430,6396865,Control
1431,6571403,Control
1432,8014451,Control
1433,1273901,Test
1434,8807567,Test
1435,5856806,Test
1436,685442,Control
1437,3188445,Control
1438,5225442,Test
1439,2854662,Test
1440,3449302,Control
1441,8182204,Control
1442,2809254,Test
1443,2529944,Test
1444,7050904,Test
1445,8627381,Control
1446,5926577,Test
1447,8151693,Control
1448,6168374,Control
1449,881057,Test
1450,5555638,Control
1451,41516,Control
1452,5552819,Control
1453,2763758,Control
1454,9599875,Test
1455,5245124,Test
1456,4740032,Test
1457,9006692,Test
1458,4156608,Test
1459,240400,Control
1460,3236351,Test
1461,5065737,Test
1462,7143633,Control
1463,6735099,Control
1464,9404539,Control
1465,9923389,Control
1466,503051,Control
1467,1669156,Test
1468,6542682,Control
1469,86780,Test
1470,2572041,Control
1471,2736294,Test
1472,5875727,Control
1473,9465015,Test
1474,239291,Test
1475,7258079,Test
1476,4914129,Control
1477,2010851,Control
1478,6623614,Control
1479,9101443,Control
1480,6157625,Test
1481,3007171,Test
1482,353727,Control
1483,379137,Control
1484,260044,Test
1485,42725,Test
1486,2819518,Test
1487,6862532,Test
1488,6036804,Test
1489,3329380,Test
1490,2898817,Control
1491,244011,Test
1492,786681,Control
1493,941279,Control
1494,581882,Control
1495,478808,Test
1496,2937724,Control
1497,773462,Control
1498,4766855,Test
1499,7893040,Control
1500,3423690,Control
1501,2153015,Control
1502,8538953,Control
1503,6490503,Control
1504,966341,Test
1505,515712,Control
1506,2395001,Control
1507,460257,Test
1508,2237376,Test
1509,533320,Control
1510,1814949,Test
1511,118415,Control
1512,270682,Control
1513,3407926,Control
1514,3812607,Test
1515,2620242,Control
1516,9887430,Test
